classtype,reading,math,graduated
regular,600,622,1
small,580,608,1
regular,654,691,1
small,702,774,1
small,670,726,1
regular,608,558,1
regular,680,655,1
small,636,601,1
regular,641,588,1
regular,608,589,1
small,580,629,1
regular,686,691,1
regular,622,691,0
regular,633,629,1
regular,610,667,1
regular,593,631,1
regular,670,629,1
small,614,667,1
small,599,594,0
small,633,629,1
regular,686,678,1
small,702,711,1
regular,588,634,1
regular,622,639,1
small,693,700,1
regular,631,593,1
small,680,691,1
small,657,678,1
regular,629,601,1
small,599,620,0
regular,665,645,1
small,595,626,1
small,633,684,1
small,661,726,1
small,622,620,0
regular,614,604,1
regular,680,678,1
small,626,603,1
regular,602,596,1
regular,557,591,1
small,650,626,1
regular,608,573,1
regular,631,639,1
small,629,604,1
regular,657,655,1
small,602,631,1
regular,595,614,1
regular,612,588,1
regular,702,711,1
small,644,648,1
regular,608,612,1
small,636,663,1
small,675,651,1
small,633,620,1
small,587,645,1
regular,624,612,1
small,597,634,1
small,650,655,1
regular,595,599,1
regular,670,655,1
regular,686,667,1
small,670,651,1
small,595,616,0
small,572,588,0
regular,626,612,1
regular,631,558,1
small,675,645,1
regular,675,700,1
small,636,601,1
small,600,610,1
small,657,631,0
regular,588,608,1
small,641,651,1
regular,629,612,0
small,612,620,1
small,661,624,1
small,654,634,1
regular,602,567,1
regular,595,622,1
regular,620,596,1
small,639,599,1
regular,644,678,1
small,612,634,1
regular,665,667,1
small,728,726,1
regular,629,614,1
small,728,691,1
regular,554,541,1
small,650,655,1
small,629,636,1
small,693,672,1
small,654,726,1
small,567,558,0
regular,602,639,0
small,657,651,1
small,650,631,1
regular,557,570,1
small,647,684,1
small,629,631,1
small,569,559,1
small,650,659,0
small,624,608,1
regular,641,659,1
small,620,639,1
regular,578,612,1
small,644,651,1
regular,606,582,1
small,661,636,1
small,602,571,1
small,614,604,1
small,602,559,1
regular,626,593,1
small,587,593,1
regular,604,606,1
small,629,634,0
small,693,667,1
small,600,576,1
regular,629,608,0
regular,622,648,1
regular,631,667,1
regular,593,596,0
regular,693,651,1
small,633,672,1
small,647,597,1
regular,629,594,1
small,631,634,1
regular,629,678,1
small,670,642,1
small,570,616,1
regular,616,631,1
regular,657,614,1
regular,593,629,1
small,657,684,1
regular,713,663,1
regular,602,610,0
small,728,684,1
regular,631,636,1
small,633,610,1
regular,644,629,1
regular,582,618,1
small,661,667,1
regular,606,667,0
small,582,606,0
regular,608,629,1
small,620,604,1
small,675,672,1
regular,597,645,1
regular,622,618,1
small,618,642,1
small,644,631,1
regular,599,614,1
small,620,599,0
small,629,631,1
small,578,601,1
small,702,651,1
regular,686,648,1
small,639,636,1
regular,654,659,1
small,626,596,1
small,557,564,1
small,702,672,1
small,670,659,1
regular,590,622,1
small,529,515,1
small,587,594,1
regular,560,544,1
regular,650,667,1
regular,604,604,1
regular,585,591,0
small,629,639,1
regular,647,651,1
regular,626,599,1
regular,636,645,1
small,686,659,1
regular,657,634,1
regular,588,564,1
regular,665,645,1
small,670,684,1
small,686,651,1
regular,661,631,1
regular,675,648,1
regular,657,672,1
regular,587,562,1
small,588,645,1
regular,654,659,1
regular,686,700,1
small,654,631,1
regular,654,636,1
small,608,634,1
small,583,577,1
small,702,678,1
regular,626,659,1
small,608,629,1
small,665,678,1
regular,593,562,1
small,608,672,1
regular,644,634,1
small,639,672,1
regular,585,571,0
regular,573,568,0
small,657,645,1
regular,641,622,1
regular,631,672,0
regular,631,629,1
regular,554,580,0
regular,650,667,1
regular,582,574,1
small,636,648,1
regular,657,684,1
regular,647,624,1
small,686,663,1
small,753,678,1
regular,650,639,1
regular,633,624,1
regular,582,577,0
regular,595,583,1
regular,629,645,1
regular,549,547,0
regular,614,603,1
small,595,599,0
small,614,624,1
small,600,589,1
regular,602,636,1
regular,639,601,1
small,650,672,1
small,633,642,1
small,597,594,1
small,657,601,1
small,608,642,1
regular,604,610,1
small,654,659,1
regular,622,648,1
small,647,616,1
regular,602,585,0
regular,686,752,1
regular,644,639,1
regular,580,591,1
regular,626,663,1
regular,587,648,1
regular,654,629,1
regular,647,624,1
regular,661,639,1
small,647,659,1
regular,680,616,0
regular,602,642,1
small,570,574,1
regular,693,700,1
small,670,634,1
regular,650,691,1
small,610,579,1
small,612,634,1
small,620,604,1
regular,650,599,1
small,665,606,0
small,728,691,1
regular,631,663,1
small,661,711,1
regular,650,678,1
regular,633,651,1
regular,654,651,1
regular,665,667,1
small,661,678,1
regular,680,639,1
regular,631,616,1
regular,597,618,1
small,562,558,1
small,670,711,1
regular,564,579,0
regular,614,614,1
regular,590,586,1
regular,573,562,1
regular,593,655,1
small,573,631,1
small,650,700,1
regular,622,601,1
small,608,642,1
regular,580,588,1
small,661,663,1
regular,557,589,1
regular,654,655,1
regular,620,622,1
small,633,659,1
small,629,636,1
small,608,574,1
small,622,616,1
small,636,663,0
regular,633,616,0
regular,654,655,1
regular,641,663,1
small,654,645,1
regular,545,556,0
regular,626,659,0
small,680,659,1
regular,661,651,1
regular,608,608,1
regular,675,659,1
regular,633,645,1
small,675,663,1
small,606,645,1
regular,629,642,1
regular,610,610,1
small,657,648,1
regular,604,588,0
regular,631,655,1
small,577,596,1
regular,644,624,1
small,567,612,1
small,636,616,1
regular,618,639,1
small,624,639,0
small,597,576,1
small,600,610,0
regular,624,629,1
regular,693,667,1
small,606,614,0
small,675,626,1
small,647,678,1
small,616,626,1
regular,578,597,1
small,616,594,1
regular,604,672,1
regular,595,606,1
small,577,585,0
regular,583,589,1
regular,693,659,1
regular,593,626,0
regular,654,631,1
regular,631,655,1
regular,641,645,1
regular,600,620,1
regular,578,597,1
small,618,629,0
small,753,700,1
regular,636,586,1
regular,555,593,0
small,614,631,1
regular,577,586,1
small,606,604,1
small,585,596,0
regular,588,589,0
regular,636,620,1
regular,622,672,1
regular,582,591,1
regular,650,672,1
small,641,672,1
regular,618,570,1
regular,606,574,1
small,665,672,1
small,592,629,1
regular,559,580,0
small,610,618,1
regular,624,612,1
regular,585,606,1
regular,670,655,1
small,626,616,1
regular,610,586,1
regular,631,651,1
regular,583,624,1
small,670,659,1
regular,614,616,0
regular,614,599,0
regular,626,582,1
regular,618,620,1
small,680,700,1
small,616,622,1
regular,661,631,1
regular,693,684,1
small,559,583,1
small,618,612,1
regular,588,606,1
small,593,629,1
small,654,663,1
regular,590,585,1
regular,647,626,1
regular,675,663,1
regular,693,711,1
regular,624,624,1
regular,670,711,1
small,620,651,1
regular,608,580,1
regular,650,624,1
small,670,659,1
regular,573,651,1
small,693,726,1
small,602,614,1
regular,665,645,1
regular,629,639,1
small,680,678,1
regular,612,655,1
small,606,626,0
small,665,604,1
small,573,593,1
regular,612,626,1
small,600,596,1
small,622,634,1
small,583,588,1
small,620,642,1
regular,636,639,1
regular,675,601,1
regular,570,659,1
small,629,678,1
regular,641,636,1
regular,657,672,1
regular,641,659,1
regular,590,582,1
regular,616,618,1
small,641,672,1
regular,641,645,1
small,616,636,1
small,665,610,1
small,675,684,0
small,620,667,1
regular,650,591,1
regular,592,603,1
regular,577,594,1
regular,702,648,1
regular,590,610,1
small,616,610,1
regular,631,655,1
small,616,589,1
regular,657,684,1
regular,633,612,1
small,728,726,1
small,641,700,1
regular,592,651,1
regular,585,636,1
regular,622,596,1
regular,606,603,1
regular,631,603,0
regular,636,631,0
regular,608,608,1
regular,665,678,1
regular,592,612,0
regular,585,639,1
regular,618,651,1
regular,587,565,1
regular,633,684,1
regular,564,582,1
regular,647,678,1
small,657,655,1
regular,636,642,1
small,665,655,1
regular,702,678,1
regular,713,711,1
regular,631,624,1
small,639,626,1
regular,641,631,1
small,633,624,1
regular,616,608,1
regular,590,614,1
regular,593,599,0
small,644,618,1
small,612,579,1
regular,590,586,1
regular,629,585,1
small,608,616,1
regular,670,663,1
small,620,593,1
small,624,589,1
regular,665,648,1
regular,582,606,1
regular,633,624,1
regular,657,622,1
regular,654,651,1
small,675,634,0
regular,616,642,1
small,641,700,1
regular,614,608,1
regular,641,655,1
regular,665,678,1
regular,641,684,1
small,702,700,1
small,624,624,1
regular,624,593,1
small,686,691,1
small,665,659,1
small,665,636,1
regular,633,678,1
regular,641,626,1
small,680,639,1
small,629,639,1
small,639,678,1
small,629,610,1
regular,610,626,1
small,583,604,1
regular,636,667,1
regular,670,651,1
regular,624,631,1
small,622,629,1
regular,650,634,1
small,650,672,1
small,629,678,1
regular,670,726,1
regular,610,663,1
regular,624,567,1
regular,702,659,1
small,670,648,1
regular,641,663,1
regular,622,663,1
regular,675,642,1
regular,693,752,1
small,693,691,1
small,588,574,0
small,602,636,1
regular,654,645,1
small,593,583,1
regular,657,663,1
small,554,568,1
regular,564,582,1
regular,639,655,1
small,573,626,1
small,654,672,1
small,608,593,1
regular,650,636,1
regular,713,678,1
regular,620,618,1
small,657,639,1
small,636,636,1
regular,650,672,0
regular,583,636,1
small,629,648,1
small,639,667,1
small,600,614,1
regular,629,618,1
small,665,616,1
regular,588,582,1
small,612,586,1
small,636,672,1
small,614,606,0
regular,654,634,1
regular,629,634,1
regular,616,645,1
regular,633,622,1
regular,661,663,1
small,552,565,1
regular,582,631,1
regular,639,655,1
regular,600,614,1
regular,670,678,1
regular,644,651,1
regular,675,672,1
regular,622,651,0
regular,616,648,1
regular,650,711,1
regular,592,659,1
small,641,700,1
regular,702,639,1
small,590,606,1
regular,675,659,1
regular,612,618,1
small,622,648,1
small,629,659,1
small,587,636,1
regular,578,601,1
small,686,691,1
regular,587,562,0
regular,597,651,1
regular,592,596,0
small,582,599,1
small,644,667,1
small,599,582,1
regular,661,659,1
small,639,711,0
regular,713,672,1
small,616,636,1
regular,575,526,0
regular,612,642,1
small,641,684,1
small,620,648,1
small,624,691,1
regular,602,616,1
regular,595,601,1
small,626,631,1
small,661,651,1
regular,608,586,1
small,610,659,1
regular,560,565,0
small,582,570,1
regular,680,678,1
small,665,648,1
small,636,645,1
regular,675,700,1
regular,614,642,1
regular,654,629,1
regular,665,700,1
regular,597,597,1
small,647,608,1
small,661,624,1
regular,616,599,1
small,595,588,1
regular,631,678,1
small,595,564,1
small,592,618,0
regular,592,591,1
regular,575,597,1
small,686,684,1
regular,593,639,1
small,644,672,1
small,582,577,0
small,639,639,1
small,650,648,1
regular,620,631,1
small,622,616,1
regular,661,639,1
regular,606,626,0
regular,675,659,1
regular,604,601,1
regular,629,601,1
small,675,684,1
small,622,561,1
regular,686,667,1
regular,624,599,1
small,564,543,0
small,680,659,0
small,612,620,1
regular,636,626,1
small,636,678,1
small,624,678,1
small,624,634,1
small,686,663,1
regular,670,659,1
small,612,612,1
small,626,626,1
regular,616,626,0
regular,590,593,1
regular,670,667,1
regular,608,588,1
small,641,624,1
regular,657,651,1
regular,631,659,1
regular,572,604,1
small,644,608,1
small,610,648,1
regular,610,651,1
small,597,610,0
small,650,626,1
regular,559,582,1
regular,595,564,1
regular,610,597,1
regular,618,651,1
regular,629,629,1
small,665,667,1
small,529,559,1
small,624,610,1
regular,641,691,1
small,622,618,0
small,599,684,1
small,657,626,1
small,593,610,1
small,629,626,1
small,665,691,1
small,644,642,1
small,693,700,1
regular,636,612,1
regular,647,659,1
small,644,601,1
small,641,594,1
regular,657,651,1
regular,693,651,1
small,633,604,1
regular,618,576,0
regular,693,663,1
regular,670,663,1
regular,686,691,1
small,633,659,1
regular,650,672,1
small,599,648,1
small,622,618,1
regular,590,618,1
small,641,614,1
regular,616,629,1
small,535,586,1
small,622,582,0
small,618,629,1
small,713,726,1
regular,647,622,1
regular,644,667,1
small,693,711,1
small,614,618,1
small,639,612,1
small,661,691,1
small,654,667,1
small,654,678,1
regular,612,620,0
regular,612,634,1
small,641,582,1
small,713,726,1
regular,622,622,0
regular,654,667,1
regular,665,684,1
regular,670,700,1
regular,693,659,1
regular,631,604,1
regular,606,612,1
small,624,614,1
regular,661,659,1
small,647,631,1
small,612,568,1
small,647,618,1
regular,661,620,1
small,592,594,1
small,636,620,1
regular,647,651,1
regular,661,651,1
regular,552,543,1
regular,680,678,1
regular,593,586,1
small,693,700,1
regular,610,639,1
regular,633,604,1
regular,686,663,1
small,647,639,1
small,647,634,1
regular,587,567,0
regular,587,618,1
regular,559,558,1
small,562,580,1
regular,616,586,1
regular,618,606,0
regular,582,556,0
regular,641,626,1
regular,624,667,1
regular,626,614,1
small,604,597,1
small,657,667,1
small,622,639,1
regular,592,622,1
regular,641,659,1
small,606,573,1
small,629,626,1
regular,647,639,1
regular,631,622,1
small,567,588,1
small,686,663,1
small,670,642,1
small,641,667,1
small,661,667,1
regular,604,596,1
regular,661,684,1
small,629,645,1
regular,633,588,1
small,728,700,1
small,636,591,1
small,604,601,1
regular,602,636,1
regular,629,774,1
small,661,651,1
regular,600,616,1
regular,604,604,1
regular,616,618,1
regular,641,622,1
regular,657,636,1
small,661,711,1
small,616,597,1
small,665,659,1
regular,631,620,1
small,629,629,1
regular,647,636,1
regular,650,636,1
regular,620,596,1
regular,624,614,1
regular,614,610,1
small,595,620,1
regular,629,603,1
regular,650,663,1
small,647,614,1
small,636,626,1
regular,624,648,1
small,618,620,1
small,587,568,1
regular,639,711,1
small,680,672,1
regular,644,631,0
regular,641,593,1
regular,629,603,1
regular,650,642,1
small,633,667,1
regular,641,639,1
small,622,663,1
regular,631,700,1
regular,702,700,1
regular,693,634,1
regular,595,579,1
small,626,618,1
small,631,597,1
regular,665,684,1
regular,587,589,1
small,590,576,1
regular,661,608,1
regular,644,634,0
small,686,616,1
regular,606,648,1
small,590,629,0
regular,538,544,1
regular,629,667,1
regular,588,550,1
small,644,663,1
small,636,618,0
regular,686,651,1
regular,680,651,1
regular,606,568,1
regular,639,639,1
regular,620,616,1
small,657,678,1
regular,608,610,1
regular,647,667,1
regular,559,588,1
regular,616,601,1
small,693,700,1
regular,702,691,1
small,639,667,1
regular,527,541,1
regular,622,601,1
small,644,651,1
small,572,588,1
small,636,711,1
small,614,636,0
regular,647,639,1
small,629,667,1
regular,661,672,1
regular,602,612,1
regular,629,636,1
regular,585,531,0
regular,564,576,0
regular,587,604,0
small,702,636,1
small,665,651,1
small,606,614,1
regular,592,651,0
regular,602,589,1
regular,650,631,1
small,616,603,1
small,636,659,1
small,602,622,1
regular,641,624,1
regular,629,618,1
small,654,726,1
regular,583,620,0
small,604,691,1
small,587,594,1
small,585,631,1
regular,622,612,1
regular,606,606,1
regular,644,631,1
regular,633,634,1
regular,559,556,0
small,616,645,1
regular,604,594,1
small,650,655,1
regular,629,612,1
small,600,599,1
small,602,634,1
regular,573,568,1
small,593,622,1
regular,675,667,0
regular,624,655,1
regular,675,691,0
small,644,663,1
small,585,593,1
small,633,667,1
small,641,606,0
regular,565,567,1
small,557,589,1
regular,585,626,0
regular,608,606,1
small,675,691,1
small,641,596,1
regular,636,631,1
small,641,678,1
regular,641,752,1
regular,610,586,1
regular,578,622,0
regular,654,655,1
regular,582,604,1
small,650,629,1
regular,593,570,0
regular,654,645,1
regular,593,579,0
regular,616,618,1
small,661,624,1
small,654,651,1
regular,599,616,1
regular,614,655,1
regular,599,588,1
regular,610,594,1
regular,593,622,1
small,647,604,1
small,602,614,1
regular,657,663,1
regular,604,629,1
regular,626,631,1
regular,639,651,1
regular,578,565,0
small,644,642,1
small,588,634,1
small,665,752,1
regular,680,663,1
regular,610,620,1
small,606,597,1
small,600,614,1
regular,602,642,0
regular,588,645,1
regular,639,610,1
regular,647,655,1
regular,636,651,1
regular,654,663,1
small,647,655,1
regular,680,663,1
regular,604,583,1
regular,585,622,1
small,612,700,1
small,622,610,1
small,599,604,1
regular,599,561,1
small,595,608,1
small,606,626,1
small,644,634,1
small,616,599,1
small,647,606,1
regular,639,678,1
regular,597,596,1
small,654,663,1
regular,639,678,1
small,650,663,1
small,650,636,1
regular,636,639,1
small,670,642,1
small,604,610,0
small,636,645,1
small,577,571,0
small,665,663,1
small,680,659,1
small,620,614,1
regular,570,583,1
small,578,610,0
small,633,642,0
regular,614,583,1
small,686,667,1
small,639,700,1
small,650,614,1
small,639,639,0
regular,631,626,1
small,592,612,0
small,680,684,1
small,675,614,0
regular,616,604,1
small,633,631,1
small,624,618,0
small,626,599,0
small,650,624,0
small,675,636,1
regular,612,567,1
small,644,586,0
small,595,593,1
small,588,561,0
small,654,593,1
small,661,642,1
regular,593,618,1
regular,620,583,0
small,629,642,1
regular,570,601,1
regular,577,608,1
small,620,586,1
small,575,579,1
small,600,624,1
small,680,642,1
regular,600,599,1
small,588,570,0
small,593,573,1
small,610,604,1
small,626,580,0
small,633,583,0
regular,597,614,1
regular,614,606,1
small,578,579,1
regular,595,614,0
regular,612,651,1
regular,644,639,0
small,647,659,1
small,650,678,1
regular,578,597,1
small,654,648,1
regular,606,636,1
small,604,642,1
regular,602,636,1
regular,582,593,0
small,606,596,1
regular,633,642,1
small,650,645,1
regular,606,651,0
regular,629,612,1
regular,604,601,1
small,670,678,1
small,588,568,1
small,644,610,1
regular,624,629,1
regular,633,629,1
regular,650,659,0
regular,753,711,1
regular,633,618,1
small,552,556,0
regular,647,684,1
regular,610,667,1
regular,608,631,0
regular,654,678,1
small,633,642,1
regular,565,561,1
regular,693,691,1
small,618,601,0
regular,606,626,1
small,702,752,1
regular,602,582,1
regular,622,626,1
small,606,645,1
small,622,629,1
small,608,540,0
regular,639,648,1
regular,626,604,0
small,647,678,1
regular,636,614,1
regular,614,561,0
regular,713,700,1
small,585,610,0
regular,578,588,0
regular,626,571,0
regular,650,684,1
small,590,567,0
small,569,616,1
small,661,636,1
regular,661,691,1
regular,670,645,1
regular,614,616,1
regular,610,614,1
regular,629,634,1
regular,602,594,1
regular,631,604,1
small,675,663,1
small,557,576,0
small,680,752,1
regular,631,589,1
small,597,574,1
small,670,659,1
small,650,639,1
regular,612,639,1
small,670,639,1
small,686,711,1
small,592,594,1
regular,641,655,1
regular,631,614,1
small,602,612,1
regular,593,645,1
small,624,589,1
small,633,678,1
small,686,631,0
regular,595,547,1
regular,713,678,1
regular,602,614,1
small,639,594,1
regular,629,599,0
regular,633,642,1
regular,647,645,1
regular,587,620,1
regular,616,642,1
small,580,614,1
regular,608,622,1
regular,595,614,1
regular,592,631,1
regular,542,549,0
regular,647,618,1
small,665,639,1
regular,604,624,1
regular,636,634,1
regular,657,642,1
small,590,585,1
small,641,639,1
small,641,618,1
small,657,603,1
regular,650,663,1
small,636,618,1
small,629,631,1
regular,641,651,0
small,575,576,1
