"vote","leave","education","age"
"stay",0,4,36
"don't know",NA,5,67
"leave",1,3,64
"leave",1,5,43
"leave",1,2,65
"stay",0,4,51
"leave",1,4,75
"stay",0,1,66
"leave",1,3,64
"leave",1,3,53
"leave",1,4,51
"stay",0,5,57
"stay",0,4,37
"leave",1,3,45
"leave",1,4,67
"won't vote",NA,NA,50
"leave",1,NA,80
"stay",0,4,62
"don't know",NA,4,32
"stay",0,4,67
"stay",0,5,40
"stay",0,2,54
"stay",0,NA,71
"leave",1,1,61
"stay",0,4,61
"leave",1,2,48
"leave",1,2,57
"stay",0,3,32
"stay",0,4,44
"leave",1,4,49
"stay",0,4,53
"leave",1,5,28
"don't know",NA,NA,45
"don't know",NA,3,60
"leave",1,4,65
"stay",0,4,37
"won't vote",NA,5,31
"stay",0,1,72
"stay",0,NA,33
"stay",0,4,63
"don't know",NA,NA,69
"leave",1,4,59
"stay",0,4,51
"stay",0,NA,64
"stay",0,4,43
"stay",0,4,69
"don't know",NA,5,36
"leave",1,NA,32
"leave",1,2,70
"stay",0,4,53
"leave",1,2,65
"leave",1,3,62
"stay",0,3,64
"stay",0,3,68
"leave",1,4,39
"stay",0,4,31
"stay",0,4,36
"leave",1,4,56
"leave",1,4,68
"stay",0,4,48
"stay",0,NA,61
"leave",1,1,57
"stay",0,4,61
"leave",1,NA,55
"stay",0,4,35
"stay",0,3,51
"stay",0,4,54
"don't know",NA,NA,44
"stay",0,2,56
"don't know",NA,4,34
"stay",0,5,36
"leave",1,2,71
"leave",1,NA,58
"leave",1,NA,40
"stay",0,2,58
"leave",1,4,53
"stay",0,4,48
"leave",1,2,43
"stay",0,5,69
"stay",0,5,44
"stay",0,4,56
"don't know",NA,1,63
"leave",1,NA,60
"leave",1,4,57
"leave",1,3,70
"leave",1,5,59
"stay",0,3,61
"stay",0,4,58
"stay",0,4,62
"stay",0,3,51
"leave",1,4,55
"stay",0,4,62
"stay",0,4,43
"stay",0,3,58
"stay",0,4,48
"stay",0,5,57
"stay",0,5,57
"leave",1,4,62
"stay",0,5,37
"leave",1,4,62
"leave",1,2,71
"leave",1,5,41
"stay",0,4,45
"leave",1,4,47
"leave",1,4,64
"stay",0,4,46
"stay",0,4,61
"leave",1,4,63
"stay",0,4,53
"leave",1,4,61
"leave",1,NA,69
"stay",0,4,58
"stay",0,4,65
"leave",1,5,61
"stay",0,4,67
"stay",0,3,56
"stay",0,5,70
"leave",1,5,71
"stay",0,4,45
"leave",1,4,65
"leave",1,4,58
"leave",1,5,59
"stay",0,3,45
"don't know",NA,4,65
"leave",1,1,65
"stay",0,4,65
"stay",0,5,39
"leave",1,4,51
"leave",1,5,51
"leave",1,2,56
"leave",1,1,70
"stay",0,4,54
"stay",0,4,67
"stay",0,3,63
"leave",1,4,55
"stay",0,4,43
"stay",0,5,44
"stay",0,5,61
"stay",0,4,66
"stay",0,5,57
"stay",0,4,59
"leave",1,5,62
"leave",1,NA,70
"leave",1,4,61
"leave",1,5,65
"leave",1,5,69
"stay",0,5,57
"stay",0,4,60
"leave",1,4,70
"don't know",NA,5,53
"leave",1,2,70
"don't know",NA,NA,66
"stay",0,4,43
"stay",0,4,44
"leave",1,4,61
"leave",1,4,61
"leave",1,4,73
"stay",0,3,63
"leave",1,4,63
"stay",0,5,55
"leave",1,3,64
"leave",1,4,61
"stay",0,5,58
"stay",0,4,42
"leave",1,3,59
"leave",1,3,51
"leave",1,4,50
"leave",1,1,45
"leave",1,4,57
"stay",0,4,52
"leave",1,NA,69
"stay",0,4,44
"stay",0,NA,68
"stay",0,2,40
"stay",0,NA,54
"leave",1,2,49
"stay",0,5,39
"stay",0,4,54
"leave",1,4,67
"leave",1,5,48
"leave",1,4,74
"stay",0,NA,65
"stay",0,4,70
"leave",1,NA,63
"leave",1,4,41
"stay",0,2,67
"stay",0,3,36
"stay",0,3,45
"stay",0,5,49
"stay",0,4,65
"stay",0,4,65
"leave",1,5,51
"leave",1,4,65
"leave",1,2,64
"leave",1,5,60
"stay",0,5,56
"leave",1,NA,66
"leave",1,1,61
"stay",0,NA,58
"stay",0,3,71
"leave",1,3,63
"leave",1,3,65
"leave",1,4,62
"leave",1,4,73
"stay",0,4,53
"stay",0,4,63
"stay",0,4,37
"leave",1,4,65
"leave",1,2,56
"stay",0,4,44
"stay",0,5,50
"stay",0,4,65
"stay",0,4,61
"stay",0,4,54
"leave",1,4,35
"stay",0,4,64
"stay",0,3,47
"leave",1,5,73
"leave",1,4,70
"won't vote",NA,5,59
"leave",1,1,65
"stay",0,2,50
"leave",1,4,50
"leave",1,4,56
"stay",0,5,49
"leave",1,4,64
"leave",1,4,63
"stay",0,4,61
"leave",1,4,73
"stay",0,2,65
"stay",0,4,68
"stay",0,5,66
"leave",1,4,55
"stay",0,4,66
"leave",1,4,70
"leave",1,4,78
"stay",0,5,46
"leave",1,5,52
"stay",0,NA,45
"stay",0,3,47
"leave",1,2,66
"leave",1,4,50
"stay",0,3,42
"stay",0,4,59
"stay",0,5,53
"stay",0,4,67
"leave",1,2,56
"stay",0,4,60
"leave",1,1,61
"leave",1,2,59
"leave",1,3,56
"leave",1,3,69
"stay",0,4,67
"leave",1,2,51
"leave",1,4,70
"leave",1,5,57
"stay",0,4,49
"leave",1,4,59
"stay",0,4,61
"leave",1,4,66
"stay",0,5,46
"don't know",NA,4,56
"stay",0,2,52
"stay",0,4,70
"leave",1,NA,70
"leave",1,3,71
"stay",0,4,59
"leave",1,3,70
"stay",0,4,61
"stay",0,4,47
"leave",1,4,43
"stay",0,4,42
"stay",0,4,51
"leave",1,4,47
"stay",0,2,69
"leave",1,2,42
"stay",0,2,44
"stay",0,NA,63
"stay",0,5,49
"leave",1,4,62
"stay",0,5,51
"stay",0,5,53
"leave",1,NA,63
"stay",0,4,44
"stay",0,5,69
"leave",1,5,62
"leave",1,5,54
"leave",1,4,61
"stay",0,4,47
"leave",1,4,63
"leave",1,4,68
"stay",0,4,41
"stay",0,5,58
"leave",1,4,65
"stay",0,2,58
"leave",1,3,69
"stay",0,4,48
"stay",0,4,35
"leave",1,3,51
"leave",1,5,67
"stay",0,5,50
"leave",1,4,70
"leave",1,4,72
"leave",1,NA,71
"stay",0,5,63
"leave",1,4,43
"leave",1,4,54
"leave",1,2,69
"don't know",NA,5,41
"leave",1,4,68
"leave",1,4,72
"stay",0,5,48
"leave",1,5,57
"stay",0,NA,55
"don't know",NA,4,54
"leave",1,2,68
"stay",0,4,57
"stay",0,5,68
"leave",1,5,52
"stay",0,4,64
"leave",1,4,63
"leave",1,2,57
"stay",0,4,71
"leave",1,4,67
"leave",1,4,67
"stay",0,5,57
"stay",0,4,71
"leave",1,2,62
"stay",0,4,64
"leave",1,3,63
"stay",0,5,53
"stay",0,5,62
"stay",0,4,63
"stay",0,4,52
"leave",1,4,51
"stay",0,5,62
"don't know",NA,4,55
"stay",0,4,65
"stay",0,5,65
"stay",0,4,58
"stay",0,4,49
"leave",1,4,53
"stay",0,5,67
"stay",0,5,67
"don't know",NA,5,53
"leave",1,3,45
"stay",0,5,61
"leave",1,4,74
"stay",0,5,44
"stay",0,4,46
"leave",1,3,69
"leave",1,4,37
"stay",0,4,64
"leave",1,5,53
"stay",0,5,54
"leave",1,3,60
"stay",0,4,40
"stay",0,4,41
"stay",0,4,63
"leave",1,4,44
"stay",0,4,42
"stay",0,5,46
"leave",1,3,52
"leave",1,2,64
"stay",0,5,37
"don't know",NA,4,65
"stay",0,5,37
"stay",0,4,66
"leave",1,4,64
"stay",0,5,60
"stay",0,NA,60
"leave",1,3,70
"won't vote",NA,3,35
"leave",1,1,69
"stay",0,4,64
"leave",1,5,51
"stay",0,4,64
"stay",0,5,56
"leave",1,4,63
"leave",1,4,77
"stay",0,4,64
"leave",1,4,55
"leave",1,4,64
"stay",0,2,61
"stay",0,4,68
"leave",1,4,63
"stay",0,4,60
"stay",0,4,53
"leave",1,4,29
"don't know",NA,5,65
"stay",0,5,75
"leave",1,NA,62
"stay",0,4,65
"stay",0,4,75
"stay",0,5,57
"don't know",NA,NA,61
"leave",1,4,59
"leave",1,NA,66
"stay",0,2,28
"leave",1,5,65
"stay",0,5,60
"leave",1,4,39
"leave",1,4,45
"leave",1,NA,55
"don't know",NA,4,38
"stay",0,4,75
"stay",0,5,57
"leave",1,4,67
"leave",1,3,50
"leave",1,4,55
"leave",1,NA,62
"stay",0,4,58
"stay",0,3,57
"stay",0,4,64
"leave",1,4,60
"stay",0,5,61
"stay",0,3,77
"stay",0,5,69
"stay",0,3,63
"leave",1,3,66
"stay",0,4,54
"stay",0,5,56
"leave",1,5,53
"leave",1,4,44
"stay",0,4,50
"stay",0,4,60
"stay",0,5,54
"stay",0,4,58
"leave",1,3,39
"leave",1,4,45
"leave",1,2,54
"leave",1,4,61
"leave",1,4,46
"stay",0,4,69
"stay",0,5,58
"stay",0,5,62
"leave",1,4,46
"leave",1,4,50
"stay",0,4,40
"stay",0,4,65
"stay",0,5,42
"stay",0,5,67
"stay",0,4,60
"don't know",NA,3,57
"don't know",NA,4,55
"leave",1,3,57
"leave",1,5,41
"stay",0,4,45
"stay",0,5,63
"stay",0,NA,59
"leave",1,NA,54
"leave",1,3,58
"stay",0,4,58
"stay",0,4,57
"stay",0,5,66
"stay",0,4,61
"stay",0,NA,72
"stay",0,4,64
"stay",0,4,75
"leave",1,3,68
"stay",0,4,75
"leave",1,2,59
"stay",0,5,71
"leave",1,3,60
"stay",0,2,53
"leave",1,2,65
"stay",0,5,45
"stay",0,3,73
"leave",1,4,70
"don't know",NA,1,62
"stay",0,3,72
"stay",0,5,47
"leave",1,1,74
"leave",1,5,60
"leave",1,4,71
"leave",1,3,39
"leave",1,5,64
"stay",0,4,56
"leave",1,4,56
"stay",0,4,67
"leave",1,3,71
"stay",0,4,34
"leave",1,3,79
"stay",0,NA,74
"leave",1,1,63
"leave",1,NA,79
"leave",1,3,74
"stay",0,2,77
"leave",1,2,81
"leave",1,4,69
"leave",1,4,83
"leave",1,5,67
"leave",1,3,86
"leave",1,2,69
"leave",1,4,51
"leave",1,5,53
"stay",0,4,44
"stay",0,4,71
"leave",1,1,31
"stay",0,5,57
"stay",0,4,62
"stay",0,5,46
"stay",0,4,67
"leave",1,3,46
"stay",0,5,35
"leave",1,4,71
"leave",1,5,69
"stay",0,4,64
"stay",0,5,73
"leave",1,2,53
"leave",1,4,59
"don't know",NA,3,59
"stay",0,4,51
"leave",1,2,42
"stay",0,4,65
"stay",0,2,68
"leave",1,2,73
"stay",0,4,39
"leave",1,3,68
"stay",0,4,59
"stay",0,4,53
"leave",1,3,71
"stay",0,4,56
"stay",0,2,52
"leave",1,4,65
"stay",0,4,32
"leave",1,4,65
"stay",0,4,61
"leave",1,3,60
"stay",0,3,46
"stay",0,4,56
"stay",0,4,58
"leave",1,2,67
"leave",1,4,83
"leave",1,2,77
"stay",0,4,86
"leave",1,4,52
"leave",1,4,72
"stay",0,NA,70
"stay",0,NA,61
"leave",1,5,48
"stay",0,5,32
"don't know",NA,5,37
"leave",1,2,64
"leave",1,4,72
"leave",1,4,77
"leave",1,4,56
"leave",1,3,67
"leave",1,NA,79
"leave",1,4,58
"leave",1,1,71
"stay",0,5,44
"stay",0,5,65
"leave",1,5,36
"leave",1,2,58
"stay",0,4,59
"stay",0,5,68
"leave",1,4,66
"stay",0,3,52
"stay",0,2,64
"leave",1,2,76
"leave",1,4,70
"stay",0,4,57
"leave",1,4,67
"stay",0,1,68
"leave",1,4,55
"leave",1,3,53
"leave",1,5,76
"stay",0,5,68
"stay",0,4,47
"leave",1,2,51
"leave",1,4,79
"leave",1,NA,61
"stay",0,2,65
"stay",0,4,60
"stay",0,4,44
"stay",0,2,58
"leave",1,4,56
"leave",1,3,73
"stay",0,4,43
"stay",0,5,76
"leave",1,4,60
"stay",0,3,58
"leave",1,4,57
"stay",0,5,67
"leave",1,2,77
"leave",1,4,84
"leave",1,4,34
"leave",1,4,58
"leave",1,4,56
"stay",0,3,74
"stay",0,2,70
"stay",0,4,62
"leave",1,4,58
"don't know",NA,2,51
"stay",0,4,62
"leave",1,NA,58
"leave",1,3,69
"leave",1,4,66
"leave",1,3,57
"stay",0,5,49
"leave",1,1,73
"leave",1,4,71
"leave",1,NA,77
"leave",1,4,63
"leave",1,2,77
"stay",0,3,66
"stay",0,3,65
"leave",1,2,68
"stay",0,3,58
"leave",1,3,64
"leave",1,NA,54
"leave",1,1,78
"leave",1,NA,72
"stay",0,NA,70
"leave",1,2,50
"leave",1,2,58
"don't know",NA,2,56
"stay",0,4,72
"leave",1,3,71
"leave",1,1,70
"stay",0,4,67
"leave",1,1,70
"don't know",NA,3,78
"leave",1,4,68
"leave",1,2,60
"don't know",NA,NA,69
"stay",0,1,60
"stay",0,4,35
"leave",1,4,68
"stay",0,5,66
"leave",1,4,70
"stay",0,5,68
"leave",1,4,75
"stay",0,2,68
"stay",0,5,43
"stay",0,4,61
"leave",1,1,64
"leave",1,4,69
"leave",1,4,65
"stay",0,4,71
"stay",0,4,84
"stay",0,5,62
"stay",0,4,56
"leave",1,3,63
"leave",1,NA,58
"leave",1,4,37
"stay",0,4,48
"don't know",NA,NA,51
"stay",0,NA,43
"leave",1,NA,65
"stay",0,4,35
"stay",0,5,55
"leave",1,3,71
"leave",1,2,63
"leave",1,2,72
"leave",1,4,52
"leave",1,4,74
"stay",0,4,39
"leave",1,5,32
"stay",0,3,61
"stay",0,3,50
"stay",0,3,64
"stay",0,4,81
"leave",1,2,74
"stay",0,3,53
"stay",0,5,43
"leave",1,1,73
"leave",1,4,69
"leave",1,3,46
"stay",0,4,71
"leave",1,3,74
"leave",1,2,65
"stay",0,5,42
"leave",1,4,77
"stay",0,4,37
"don't know",NA,4,32
"leave",1,4,32
"leave",1,2,79
"stay",0,4,63
"don't know",NA,3,63
"stay",0,5,78
"leave",1,1,64
"leave",1,4,69
"leave",1,4,58
"leave",1,2,77
"leave",1,4,53
"leave",1,4,54
"stay",0,5,87
"stay",0,5,73
"stay",0,4,57
"stay",0,4,73
"leave",1,2,66
"stay",0,2,71
"stay",0,5,43
"stay",0,4,43
"stay",0,5,32
"leave",1,1,81
"don't know",NA,NA,53
"stay",0,4,53
"leave",1,3,55
"stay",0,3,56
"leave",1,2,71
"stay",0,3,61
"stay",0,5,58
"stay",0,4,50
"stay",0,5,60
"stay",0,3,55
"leave",1,2,79
"stay",0,5,36
"leave",1,2,70
"leave",1,3,61
"leave",1,NA,50
"stay",0,5,69
"leave",1,2,80
"leave",1,NA,66
"stay",0,2,66
"leave",1,2,58
"leave",1,3,70
"stay",0,5,79
"leave",1,2,57
"don't know",NA,4,57
"stay",0,4,69
"stay",0,3,64
"stay",0,4,47
"leave",1,3,62
"stay",0,3,54
"leave",1,NA,65
"leave",1,3,70
"leave",1,1,64
"stay",0,3,51
"leave",1,3,64
"leave",1,1,60
"stay",0,4,49
"leave",1,1,68
"leave",1,2,55
"stay",0,NA,72
"leave",1,2,70
"leave",1,3,65
"leave",1,3,63
"stay",0,3,68
"stay",0,4,48
"stay",0,5,31
"stay",0,2,71
"leave",1,4,62
"leave",1,5,66
"stay",0,4,72
"leave",1,4,73
"don't know",NA,2,63
"leave",1,5,42
"leave",1,2,68
"stay",0,4,70
"don't know",NA,3,58
"stay",0,3,78
"stay",0,4,51
"leave",1,4,70
"leave",1,2,49
"stay",0,3,38
"don't know",NA,4,64
"leave",1,4,43
"stay",0,NA,85
"leave",1,4,58
"don't know",NA,4,68
"stay",0,5,52
"leave",1,5,33
"leave",1,4,48
"stay",0,4,55
"leave",1,NA,48
"stay",0,5,40
"leave",1,4,69
"leave",1,1,66
"leave",1,2,79
"leave",1,3,62
"leave",1,NA,57
"stay",0,4,66
"leave",1,NA,68
"leave",1,3,67
"leave",1,3,58
"don't know",NA,5,67
"leave",1,4,59
"leave",1,2,73
"leave",1,2,64
"leave",1,NA,70
"leave",1,4,74
"stay",0,2,66
"leave",1,4,60
"leave",1,1,67
"stay",0,NA,78
"leave",1,NA,69
"leave",1,NA,58
"leave",1,4,64
"stay",0,2,53
"stay",0,4,50
"leave",1,4,45
"leave",1,2,73
"leave",1,3,52
"stay",0,4,46
"stay",0,2,60
"stay",0,NA,65
"don't know",NA,4,52
"don't know",NA,5,58
"won't vote",NA,NA,50
"leave",1,4,49
"stay",0,2,35
"stay",0,NA,66
"don't know",NA,3,45
"leave",1,3,50
"leave",1,2,57
"stay",0,4,38
"leave",1,3,48
"leave",1,3,49
"stay",0,4,37
"leave",1,4,53
"leave",1,2,74
"stay",0,4,60
"stay",0,3,61
"stay",0,4,64
"leave",1,3,64
"stay",0,4,77
"leave",1,4,44
"don't know",NA,2,71
"leave",1,4,80
"leave",1,5,43
"stay",0,4,70
"stay",0,4,69
"leave",1,4,70
"leave",1,4,47
"leave",1,2,50
"leave",1,2,56
"stay",0,5,29
"leave",1,4,59
"stay",0,4,34
"stay",0,4,61
"stay",0,2,66
"leave",1,4,64
"stay",0,3,36
"leave",1,2,58
"stay",0,3,39
"stay",0,3,45
"leave",1,NA,45
"stay",0,4,38
"don't know",NA,5,61
"leave",1,3,72
"stay",0,3,60
"leave",1,4,72
"stay",0,2,62
"leave",1,1,48
"leave",1,3,63
"stay",0,1,65
"stay",0,3,71
"stay",0,NA,49
"leave",1,4,63
"stay",0,4,37
"leave",1,3,63
"stay",0,4,63
"leave",1,3,43
"stay",0,1,69
"stay",0,4,66
"leave",1,1,73
"stay",0,5,38
"leave",1,2,62
"leave",1,3,66
"stay",0,4,73
"leave",1,NA,55
"stay",0,4,64
"leave",1,NA,59
"stay",0,5,39
"stay",0,NA,48
"leave",1,2,56
"stay",0,4,68
"leave",1,3,58
"leave",1,4,57
"stay",0,5,39
"leave",1,3,78
"leave",1,4,46
"leave",1,3,63
"stay",0,4,34
"stay",0,4,43
"stay",0,3,81
"leave",1,1,71
"stay",0,5,41
"leave",1,4,87
"leave",1,4,84
"leave",1,4,78
"leave",1,2,84
"leave",1,4,82
"leave",1,5,69
"leave",1,5,67
"stay",0,2,56
"leave",1,4,72
"stay",0,4,66
"leave",1,3,53
"leave",1,4,76
"leave",1,NA,69
"leave",1,3,66
"leave",1,2,64
"leave",1,NA,72
"leave",1,1,70
"stay",0,5,31
"leave",1,4,70
"leave",1,NA,67
"stay",0,5,74
"stay",0,4,74
"stay",0,4,72
"leave",1,2,67
"leave",1,3,38
"leave",1,3,65
"leave",1,3,44
"leave",1,1,70
"leave",1,NA,72
"leave",1,2,63
"leave",1,NA,69
"leave",1,3,37
"leave",1,4,38
"stay",0,4,62
"stay",0,5,42
"leave",1,2,73
"stay",0,4,76
"leave",1,4,55
"leave",1,4,74
"leave",1,2,73
"leave",1,1,70
"leave",1,3,72
"stay",0,3,63
"stay",0,4,56
"stay",0,4,28
"leave",1,1,69
"stay",0,3,61
"leave",1,3,58
"leave",1,3,74
"stay",0,4,52
"leave",1,3,73
"stay",0,4,41
"stay",0,2,61
"stay",0,4,72
"leave",1,4,60
"stay",0,2,72
"stay",0,NA,67
"stay",0,4,51
"stay",0,4,74
"stay",0,4,35
"stay",0,4,43
"stay",0,3,40
"stay",0,4,57
"stay",0,NA,53
"stay",0,4,52
"stay",0,4,58
"leave",1,1,63
"don't know",NA,NA,57
"leave",1,1,57
"leave",1,4,71
"leave",1,4,44
"stay",0,5,34
"stay",0,4,45
"stay",0,5,51
"leave",1,3,47
"leave",1,NA,60
"won't vote",NA,3,59
"stay",0,3,70
"leave",1,2,62
"leave",1,1,76
"leave",1,NA,55
"stay",0,4,37
"leave",1,2,59
"stay",0,5,74
"leave",1,1,73
"stay",0,2,67
"stay",0,NA,64
"leave",1,3,52
"leave",1,4,73
"stay",0,5,29
"leave",1,3,44
"leave",1,5,76
"stay",0,2,84
"leave",1,3,76
"stay",0,NA,66
"stay",0,4,57
"stay",0,4,52
"stay",0,4,45
"stay",0,NA,46
"leave",1,3,79
"stay",0,NA,85
"leave",1,2,70
"leave",1,4,48
"leave",1,4,71
"stay",0,3,38
"stay",0,4,46
"stay",0,2,47
"leave",1,NA,71
"stay",0,2,74
"leave",1,1,72
"stay",0,4,47
"stay",0,3,53
"stay",0,4,42
"stay",0,4,40
"don't know",NA,2,28
"stay",0,4,60
"leave",1,3,74
"leave",1,5,67
"stay",0,4,38
"stay",0,5,77
"stay",0,3,71
"stay",0,3,61
"stay",0,3,63
"stay",0,4,49
"stay",0,3,31
"leave",1,4,76
"leave",1,NA,59
"stay",0,4,51
"leave",1,1,52
"leave",1,NA,48
"stay",0,4,70
"leave",1,3,66
"leave",1,1,68
"leave",1,5,77
"leave",1,4,74
"leave",1,2,69
"don't know",NA,NA,67
"leave",1,4,66
"leave",1,2,67
"don't know",NA,4,42
"leave",1,4,80
"leave",1,4,44
"leave",1,4,74
"leave",1,3,67
"leave",1,4,57
"stay",0,2,69
"leave",1,2,48
"leave",1,4,56
"stay",0,4,43
"leave",1,1,75
"leave",1,1,68
"leave",1,4,50
"leave",1,2,67
"stay",0,3,66
"leave",1,2,69
"stay",0,NA,37
"don't know",NA,4,41
"leave",1,2,70
"leave",1,NA,53
"leave",1,4,67
"leave",1,2,81
"stay",0,2,68
"leave",1,3,70
"leave",1,1,74
"leave",1,5,52
"stay",0,4,61
"leave",1,NA,59
"leave",1,4,56
"stay",0,4,73
"leave",1,2,80
"leave",1,2,57
"leave",1,4,76
"leave",1,3,85
"leave",1,4,64
"leave",1,4,57
"stay",0,5,69
"leave",1,3,68
"leave",1,4,67
"leave",1,2,71
"stay",0,4,75
"stay",0,4,48
"leave",1,3,75
"stay",0,2,61
"stay",0,4,79
"leave",1,1,35
"won't vote",NA,1,45
"leave",1,4,31
"leave",1,2,70
"stay",0,4,67
"stay",0,4,68
"leave",1,NA,80
"stay",0,3,55
"leave",1,4,74
"leave",1,3,51
"don't know",NA,4,54
"leave",1,2,71
"stay",0,5,75
"leave",1,2,67
"leave",1,4,62
"leave",1,4,70
"leave",1,NA,68
"leave",1,4,65
"leave",1,5,73
"leave",1,3,67
"leave",1,4,70
"stay",0,4,58
"leave",1,NA,63
"stay",0,5,75
"stay",0,4,64
"leave",1,4,69
"leave",1,5,66
"leave",1,3,66
"leave",1,3,76
"leave",1,2,78
"leave",1,2,57
